Lien_photo,name,age,status,sex,orientation_bisexual,orientation_gay,orientation_straight,body_type,diet,education,height,job,pets,smokes,question_1,question_2,question_3
https://github.com/LiseLarochette/streamlit_okcupid/blob/main/pictures/profil27.jpg,Alan FAUVERGUE,21,0,1,0,0,1,4,0,0,185.0,9,1,1,un marathon de films,jamais aller se coucher fâché,j'ai peur du noir
https://github.com/LiseLarochette/streamlit_okcupid/blob/main/pictures/profil20.jpg,Maxime BARSKI,23,0,1,1,0,0,4,0,0,170.0,16,0,0,une bataille de blagues,vivre et laisser vivre,je ne peux pas dormir sans ma peluche
https://github.com/LiseLarochette/streamlit_okcupid/blob/main/pictures/profil6.jpg,Arnauld MONTANDON,24,2,1,0,0,1,8,0,0,178.0,12,1,0,une bataille de blagues,vivre et laisser vivre,je ne peux pas dormir sans ma peluche
https://github.com/LiseLarochette/streamlit_okcupid/blob/main/pictures/profil25.jpg,Viktoria MEURVILLE,42,0,0,0,0,1,3,0,0,160.0,15,0,0,un duel de cuisine,garder une attitude positive quoi qu'il arrive,je suis un(e) romantique incurable
https://github.com/LiseLarochette/streamlit_okcupid/blob/main/pictures/profil25.jpg,Viktoria MEURVILLE,29,0,0,0,0,1,2,0,0,157.0,1,0,2,un tournoi de ping-pong,jamais aller se coucher fâché,j'ai peur des clowns
https://github.com/LiseLarochette/streamlit_okcupid/blob/main/pictures/profil25.jpg,Viktoria MEURVILLE,19,0,0,1,0,0,5,0,0,165.0,9,0,0,une course de drones,toujours chercher à apprendre,je fais toujours le premier pas
https://github.com/LiseLarochette/streamlit_okcupid/blob/main/pictures/profil1.jpg,Alexis ESTRINE,30,0,1,0,0,1,5,0,0,180.0,12,0,1,un match de tennis de table,écouter avant de juger,je rêve secrètement de devenir une star
https://github.com/LiseLarochette/streamlit_okcupid/blob/main/pictures/profil1.jpg,Alexis ESTRINE,30,0,1,0,0,1,6,0,0,173.0,4,1,2,une bataille d'eau,aimer comme s'il n'y avait pas de lendemain,je garde toujours un carnet secret
https://github.com/LiseLarochette/streamlit_okcupid/blob/main/pictures/profil14.jpg,Emilie LINGAT,57,0,0,0,0,1,2,0,0,178.0,2,0,0,une course de drones,écouter avant de juger,je prépare le meilleur café
https://github.com/LiseLarochette/streamlit_okcupid/blob/main/pictures/profil3.jpg,Mathieu DELFOSSE,49,0,1,0,0,1,2,0,0,180.0,8,0,0,un duel de cuisine,se lever avec le soleil,je parle aux animaux comme s'ils pouvaient répondre
